icao,iata,name,location,country,timezone,hub,lat,lon
AA00,default,Shump Airport,Talkeetna,US,America/Anchorage,0,62.51015,-149.926717
AA05,default,Shelby Strip,Anchorage,US,America/Anchorage,0,61.507811,-149.078481
AA06,default,Sixmile Lake Airport,Anchorage,US,America/Anchorage,0,61.289722,-149.806111
AA22,default,Delta Daves Airport,Delta Junction,US,America/Anchorage,0,64.132858,-145.804494
AA30,default,Trio Estates Airport,Houston,US,America/Anchorage,0,61.648189,-149.870831
AA33,default,Gus Landing,Houston,US,America/Anchorage,0,61.60415,-149.770119
AA50,default,Point Thomson Sea Ice Airstrip,Deadhorse,US,America/Anchorage,0,70.181144,-146.35035
AA76,default,Timber Trails Airport,North Pole,US,America/Anchorage,0,64.769444,-147.329444
AAXX,default,Rothera Point Airport,Rothera Point,AQ,Antarctica/Rothera,0,-67.5669411575,-68.1269931793
ADDE,ALX,Thomas C Russell Field,Alexander City,US,America/Chicago,0,32.9146995544,-85.9629974365
AGAF,AFT,Afutara Aerodrome,Bila,SB,Pacific/Guadalcanal,0,-9.1913888889,160.948611111
AGAR,RNA,Ulawa Airport,Arona,SB,Pacific/Guadalcanal,0,-9.8605435826,161.979546547
AGAT,ATD,Uru Harbour Airport,Atoifi,SB,Pacific/Guadalcanal,0,-8.8733301163,161.0110015869
AGBA,VEV,Barakoma Airport,Barakoma,SB,Pacific/Guadalcanal,0,-7.912779808,156.7059936523
AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,SB,Pacific/Guadalcanal,0,-8.5620277778,158.119305556
AGEV,GEF,Geva Airport,Liangia,SB,Pacific/Guadalcanal,0,-7.5758299828,156.5970001221
AGGA,AKS,Auki Airport,Auki,SB,Pacific/Guadalcanal,0,-8.7025699616,160.682006836
AGGB,BNY,Bellona/Anua Airport,Anua,SB,Pacific/Guadalcanal,0,-11.3022222222,159.798333333
AGGC,CHY,Choiseul Bay Airport,default,SB,Pacific/Guadalcanal,0,-6.711944,156.396111
AGGE,BAS,Ballalae Airport,Ballalae,SB,Pacific/Guadalcanal,0,-6.990745,155.886656
AGGF,FRE,Fera/Maringe Airport,Fera Island,SB,Pacific/Guadalcanal,0,-8.1075000763,159.5769958496
AGGH,HIR,Honiara International Airport,Honiara,SB,Pacific/Guadalcanal,0,-9.4280004501,160.0549926758
AGGI,MBU,Babanakira Airport,Mbambanakira,SB,Pacific/Guadalcanal,0,-9.7475004196,159.8390045166
AGGJ,AVU,Avu Avu Airport,default,SB,Pacific/Guadalcanal,0,-9.8683333333,160.410555556
AGGK,IRA,Ngorangora Airport,Kirakira,SB,Pacific/Guadalcanal,0,-10.4497003555,161.8979949951
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,Pacific/Guadalcanal,0,-10.7202997208,165.7949981689
AGGM,MUA,Munda Airport,default,SB,Pacific/Guadalcanal,0,-8.3279695511,157.2630004883
AGGN,GZO,Nusatupe Airport,Gizo,SB,Pacific/Guadalcanal,0,-8.0977802277,156.863998413
AGGO,MNY,Mono Airport,Stirling Island,SB,Pacific/Guadalcanal,0,-7.4169402122,155.5650024414
AGGP,PRS,Parasi Airport,Parasi,SB,Pacific/Guadalcanal,0,-9.6416702271,161.4250030518
AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,SB,Pacific/Guadalcanal,0,-11.5339002609,160.06300354
AGGS,EGM,Sege Airport,Sege,SB,Pacific/Guadalcanal,0,-8.5788898468,157.8760070801
AGGT,NNB,Santa Ana Airport,Santa Ana Island,SB,Pacific/Guadalcanal,0,-10.847994,162.454108
AGGU,RUS,Marau Airport,Marau,SB,Pacific/Guadalcanal,0,-9.8616695404,160.824996948
AGGV,VAO,Suavanao Airport,Suavanao,SB,Pacific/Guadalcanal,0,-7.585559845,158.7310028076
AGGY,XYA,Yandina Airport,Yandina,SB,Pacific/Guadalcanal,0,-9.092816,159.21841
AGKG,KGE,Kagau Island Airport,Kagau Island,SB,Pacific/Guadalcanal,0,-7.3330001831,157.5829925537
AGKW,KWS,Kwailabesi Airport,Kwailabesi,SB,Pacific/Guadalcanal,0,-8.360508,160.775127
AGOK,GTA,Gatokae Airport,Gatokae,SB,Pacific/Guadalcanal,0,-8.739167,158.203056
AGRC,RIN,Ringi Cove Airport,Ringi Cove,SB,Pacific/Guadalcanal,0,-8.1263904572,157.1430053711
AGRM,RBV,Ramata Airport,Ramata,SB,Pacific/Guadalcanal,0,-8.1680603027,157.6430053711
AK00,default,Anchor River Airpark,Anchor Point,US,America/Anchorage,0,59.7966995239,-151.8630065918
AK01,default,Alaska Airpark,Sterling,US,America/Anchorage,0,60.528983,-150.625133
AK02,default,Bear Creek 1 Airport,Bear Creek,US,America/Anchorage,0,65.5399017334,-161.06199646
AK05,default,Breeden Airport,Sterling,US,America/Anchorage,0,60.54105,-150.599217
AK06,default,Denali Airport,Mckinley Park,US,America/Anchorage,0,63.6450996399,-148.7980041504
AK07,default,Dog Fish Bay Airport,Nanwalek,US,America/Anchorage,0,59.2410011292,-151.8769989014
AK08,default,Thomas Strip,Willow,US,America/Anchorage,0,61.7899017334,-150.1060028076
AK09,default,Wingsong Estates Airport,Delta Junction,US,America/Anchorage,0,64.0495986938,-145.5019989014
AK10,default,Ernies Airstrip,Willow,US,America/Anchorage,0,61.7172012329,-150.10899353
AK11,default,Point Mcintyre Airport,Point Mcintyre,US,America/Anchorage,0,70.4017028809,-148.6820068359
AK12,default,Flying Crown Airport,Anchorage,US,America/Anchorage,0,61.1066017151,-149.8639984131
AK13,CEX,Chena Hot Springs Airport,Chena Hot Springs,US,America/Anchorage,0,65.0518035889,-146.04699707
AK14,default,Turinsky Airstrip,Point Mackenzie,US,America/Anchorage,0,61.3512992859,-150.0890045166
AK16,default,Sunset Strip,Wasilla,US,America/Anchorage,0,61.52339935,-149.7149963
AK17,default,Glacierview Strip,Homer,US,America/Anchorage,0,59.7635993958,-151.2230072021
AK18,default,Camp Point Airport,Homer,US,America/Anchorage,0,59.8284988403,-153.0809936523
AK19,default,Carl's Landing Airport,Talkeetna,US,America/Anchorage,0,62.1739006042,-150.0639953613
AK20,default,Cd-3 Airstrip,Nuiqsut,US,America/Anchorage,0,70.420622,-150.886667
AK21,default,Nushagak Airport,Dillingham,US,America/Anchorage,0,59.132598877,-157.7769927979
AK22,default,Lakloey Air Park,Fairbanks,US,America/Anchorage,0,64.8217010498,-147.5220031738
AK24,default,Hilltop Airport,Chugiak,US,America/Anchorage,0,61.41820145,-149.4389954
AK25,default,Piper Landing Airport,Wasilla,US,America/Anchorage,0,61.6175003052,-149.6150054932
AK26,default,Solomon State Field,Solomon,US,America/Nome,0,64.5606002808,-164.4420013428
AK27,default,Valley Flying Crown Airport,Wasilla,US,America/Anchorage,0,61.6426010132,-149.6239929199
AK28,default,Chena Marina Airport,Fairbanks,US,America/Anchorage,0,64.8140029907,-147.9190063477
AK29,default,Reids Landing Airport,Houston,US,America/Anchorage,0,61.6125984192,-149.8520050049
AK30,default,Strawberry Point Airport,Cordova,US,America/Anchorage,0,60.391153,-146.097464
AK31,default,Swift Creek Airport,Mccarthy,US,America/Anchorage,0,61.4112014771,-143.0010070801
AK33,HED,Herendeen Bay Airport,Herendeen Bay,US,America/Anchorage,0,55.801399231,-160.899002075
AK36,default,Point Mac Airport,Point Mackenzie,US,America/Anchorage,0,61.436000824,-150.1219940186
AK39,default,South Gasline Airport,Sterling,US,America/Anchorage,0,60.6972007751,-150.1799926758
AK40,default,Nixon Fork Mine Airport,McGrath,US,America/Anchorage,0,63.2291984558,-154.759994507
AK41,default,Greg'n Sage Airport,North Pole,US,America/Anchorage,0,64.5438995361,-146.8439941406
AK44,default,Talkeetna Village Strip,Talkeetna,US,America/Anchorage,0,62.318901062,-150.1159973145
AK45,default,Lost River 2 Airport,Lost River,US,America/Nome,0,65.456199646,-167.1750030518
AK46,default,Abi Airport,Palmer,US,America/Anchorage,0,61.6287994385,-149.0429992676
AK47,default,Shawn Field,Wasilla,US,America/Anchorage,0,61.5857009888,-149.56300354
AK49,TWE,Taylor Airport,Taylor,US,America/Nome,0,65.6792984009,-164.798995972
AK50,default,Sky Ranch At Pioneer Peak Airport,Palmer,US,America/Anchorage,0,61.554599762,-149.1439971924
AK51,default,Wilder/Natwick Llc Airport,Port Alsworth,US,America/Anchorage,0,60.198600769,-154.3249969482
AK52,default,Moen's Ranch Airport,Fairbanks,US,America/Anchorage,0,64.8889007568,-147.5359954834
AK53,default,Downwind Landing Airport,Palmer,US,America/Anchorage,0,61.5822982788,-148.9969940186
AK54,default,Stro's Airport,Wasilla,US,America/Anchorage,0,61.6571006775,-149.3260040283
AK55,default,Moose Run Airstrip,Soldotna,US,America/Anchorage,0,60.489200592,-150.8020019531
AK58,default,Fairview West Airport,Wasilla,US,America/Anchorage,0,61.5400009155,-149.5489959717
AK59,default,King Ranch Airport,Sutton,US,America/Anchorage,0,61.7956008911,-148.3549957275
AK60,default,Fort Jensen Airport,Jensens,US,America/Anchorage,0,57.8851013184,-157.0970001221
AK61,default,Stephan Lake Lodge Airport,Talkeetna,US,America/Anchorage,0,62.6996002197,-148.9069976807
AK63,default,Pat-Mar Strip,Palmer,US,America/Anchorage,0,61.5886001587,-149.1430053711
AK64,default,Taylor Mountain Airport,Taylor Mountain Mine,US,America/Anchorage,0,60.8678016663,-157.391998291
AK65,default,Green's Strip,Wasilla,US,America/Anchorage,0,61.5979003906,-149.3509979248
AK66,default,Hunter Creek Airport,Palmer,US,America/Anchorage,0,61.4631004333,-148.8040008545
AK67,default,Skid Marks Airport,Willow,US,America/Anchorage,0,61.7386016846,-150.0729980469
AK68,default,Minuteman Strip,Willow,US,America/Anchorage,0,61.7202987671,-150.0540008545
AK69,default,Long Lake Airport,Willow,US,America/Anchorage,0,61.7293014526,-150.0980072021
AK72,default,Jewell Airport,Willow,US,America/Anchorage,0,61.70470047,-150.6009979248
AK73,default,Mcgahan Industrial Airpark,Nikishka,US,America/Anchorage,0,60.7252998352,-151.3020019531
AK75,CDL,Candle 2 Airport,Candle,US,America/Anchorage,0,65.907699585,-161.925994873
AK76,default,East Alsek River Airport,Yakutat,US,America/Yakutat,0,59.1260986328,-138.4069976807
AK77,default,All West Airport,Delta Junction,US,America/Anchorage,0,63.9413986206,-145.4219970703
AK79,default,Jolly Field,Wasilla,US,America/Anchorage,0,61.59355,-149.5665
AK80,default,American Creek Airport,American Creek,US,America/Anchorage,0,65.1016998291,-151.1770019531
AK83,default,Gannon's Landing Airport,Wasilla,US,America/Anchorage,0,61.6273002625,-149.6089935303
AK84,default,Scooter's Landing Strip,Sterling,US,America/Anchorage,0,60.5293998718,-150.8309936523
AK85,default,Birchwater Airport,Wasilla,US,America/Anchorage,0,61.482333,-149.763986
AK86,default,Kramer Airport,Big Lake,US,America/Anchorage,0,61.573539,-149.91135
AK88,default,Eagle Nest Airport,Palmer,US,America/Anchorage,0,61.6046981812,-149.0399932861
AK89,default,Black Spruce Airport,Houston,US,America/Anchorage,0,61.6570014954,-149.8370056152
AK90,default,Shirley Lake Airport,Willow,US,America/Anchorage,0,61.7447013855,-150.1150054932
AK92,default,Martin Airport,Palmer,US,America/Anchorage,0,61.63800049,-149.029007
AK93,default,Grouse Ridge Airport,Palmer,US,America/Anchorage,0,61.6552009583,-149.2729949951
AK95,default,Twin Lake Airport,Big Lake,US,America/Anchorage,0,61.5698013306,-149.779006958
AK96,BSZ,Bartletts Airport,Egegik,US,America/Anchorage,0,58.2162017822,-157.352005005
AK97,BSW,Boswell Bay Airport,Boswell Bay,US,America/Anchorage,0,60.4230995178,-146.145996094
AK98,default,Buck Creek Airport,Buck Creek,US,America/Nome,0,65.6387023926,-167.4859924316
AK99,default,Grand Home Airport,Wasilla,US,America/Anchorage,0,61.446667,-149.761111
AL00,default,Charlie Wilkes Airport,Fayette,US,America/Chicago,0,33.7444000244,-87.7863998413
AL01,default,Bedsole Farm Airport,Claiborne,US,America/Chicago,0,31.5585002899,-87.5333023071
AL02,default,Rainey Field,Cottondale,US,America/Chicago,0,33.150100708,-87.4417037964
AL03,default,Strickland/Smalley Field,Akron,US,America/Chicago,0,35.853889,-87.723889
AL04,default,Pleasant View Farm Airport,Elberta,US,America/Chicago,0,30.4626998901,-87.5250015259
AL05,default,Sehoy Airport,Hurtsboro,US,America/Chicago,0,32.2201004028,-85.4680023193
AL08,default,Perdido Winds Airpark,Elberta,US,America/Chicago,0,30.4244003296,-87.5353012085
AL09,default,Cloudmont Airpark,Mentone,US,America/Chicago,0,34.5334014893,-85.5902023315
AL10,default,Frerichs Airport,Gurley,US,America/Chicago,0,34.6511993408,-86.4169006348
AL12,default,Kershaw Airport,Montgomery,US,America/Chicago,0,32.3585014343,-86.125
AL15,default,Styron Airport,Foley,US,America/Chicago,0,30.4029998779,-87.7241973877
AL16,default,Turkey Creek Airport,Pinson,US,America/Chicago,0,33.7267990112,-86.7236022949
AL17,default,Lazy Eight Airpark Llc Airport,Wilsonville,US,America/Chicago,0,33.2340011597,-86.5130004883
AL18,default,Parker Field,Gardendale,US,America/Chicago,0,33.6762008667,-86.8675003052
AL25,default,Spratling Field,Roba,US,America/Chicago,0,32.242401123,-85.6010971069
AL27,default,Headquarters Airport,Centre,US,America/Chicago,0,34.1057014465,-85.5658035278
AL29,default,New Horizon Airport,Blountsville,US,America/Chicago,0,34.1292991638,-86.6333007813
AL32,default,Flying M Ranch Airport,Cedar Bluff,US,America/Chicago,0,34.3226013184,-85.643699646
AL33,default,Sturdy Oak Farm Airport,Perdido,US,America/Chicago,0,31.0251998901,-87.5858001709
AL34,default,Henson Field,Moulton,US,America/Chicago,0,34.4469985962,-87.386100769
AL35,default,Mc Ginnis Airport,Loxley,US,America/Chicago,0,30.619600296,-87.7043991089
AL37,default,Benedick Airport,Jack,US,America/Chicago,0,31.555028,-85.977278
AL40,default,Bonham Airport,Birmingham,US,America/Chicago,0,33.5432014465,-86.9858016968
AL41,default,Freedom Field,Slocomb,US,America/Chicago,0,31.1159992218,-85.62550354
AL43,default,Henley Ranch Airport,Geiger,US,America/Chicago,0,32.9085006714,-88.3333969116
AL51,default,Flying C's Plantation Airport,Crawford,US,America/Chicago,0,32.4160995483,-85.2992019653
AL54,default,Bird Nest Airport,Winfield,US,America/Chicago,0,33.8633003235,-87.8452987671
AL55,default,Shields Airport,Elberta,US,America/Chicago,0,30.4419002533,-87.4638977051
AL56,default,Jones Light Aviation Airport,Smiths,US,America/New_York,0,32.5000991821,-85.0832977295
AL60,default,Dugger's Field,Ashville,US,America/Chicago,0,33.8386993408,-86.2114028931
AL61,default,Belforest Airport,Daphne,US,America/Chicago,0,30.6168994904,-87.8582992554
AL62,default,Striplin Airfield,Hartford,US,America/Chicago,0,31.0830001831,-85.6835021973
AL68,default,Willis Airport,Piedmont,US,America/Chicago,0,33.8512001038,-85.6630020142
AL69,default,Vaughn Private Airport,Summerdale,US,America/Chicago,0,30.5084991455,-87.4916000366
AL71,default,Willow Point Airport,Our Town,US,America/Chicago,0,32.8036994934,-85.9804992676
AL72,default,Palmer Field,Madison,US,America/Chicago,0,34.695400238,-86.7861022949
AL73,default,Sharpe Field,Tuskegee,US,America/Chicago,0,32.4919013977,-85.7755966187
AL74,default,Grimes Field,Semmes,US,America/Chicago,0,30.7644004822,-88.3058013916
AL76,default,Mayfield (Private) Airport,Maplesville,US,America/Chicago,0,32.8487014771,-86.8700027466
AL77,default,Smart Road Airport,Troy,US,America/Chicago,0,31.7406005859,-86.0070037842
AL78,default,Klumpp Airport,Fairhope,US,America/Chicago,0,30.5268993378,-87.8542022705
AL79,default,Bartlett Ranch Airport,Pike Road,US,America/Chicago,0,32.2695999146,-86.0988006592
AL81,default,Wallace Field,Robertsdale,US,America/Chicago,0,30.5501995087,-87.5832977295
AL84,default,Pecan Ponds Farm Airport,Robertsdale,US,America/Chicago,0,30.5585002899,-87.6041030884
AL88,default,Ban Farm Airport,Lillian,US,America/Chicago,0,30.4265995026,-87.4708023071
AL89,default,Sommerset Strip,Opelika,US,America/Chicago,0,32.7187004089,-85.366897583
AL92,default,Hawk Field,Harpersville,US,America/Chicago,0,33.3073005676,-86.4036026001
AL93,default,Big Sky Airport,Huntsville,US,America/Chicago,0,34.8856010437,-86.7099990845
AL94,default,Evans Field,Wilmer,US,America/Chicago,0,30.8127002716,-88.3771972656
AL97,default,Williamson Farm Airport,Loxley,US,America/Chicago,0,30.6446990967,-87.6694030762
AN01,default,Av Ranch Airport,Klondyke,US,America/Phoenix,0,32.8166999817,-110.3170013428
ANYN,INU,Nauru International Airport,Yaren District,NR,Pacific/Nauru,0,-0.547458,166.919006
AR01,default,Baker Flying Service Airport,Eudora,US,America/Chicago,0,33.1085014343,-91.2500991821
AR03,default,Centerville Airstrip,Centerville,US,America/Chicago,0,35.1186981201,-93.2015991211
AR04,default,Gunem Field,Cave Springs,US,America/Chicago,0,36.2616996765,-94.248298645
AR05,default,John Harris Field,Chickala,US,America/Chicago,0,35.2159004211,-93.304901123
AR06,default,Cantrell Farms Airport,Conway,US,America/Chicago,0,35.2324981689,-92.3432998657
AR08,default,Flying Machines Airstrip,Eureka Springs,US,America/Chicago,0,36.3152999878,-93.6666030884
AR09,default,Bella Vista Field,Gravette,US,America/Chicago,0,36.413898468,-94.4389038086
AR10,default,Greenwalt Company Airport,Hazen,US,America/Chicago,0,34.8067016602,-91.6082992554
AR11,default,Ozark Aerodrome,Rogers,US,America/Chicago,0,36.28889847,-94.09030151
AR12,default,Mc Donald's Strip,Rose Bud,US,America/Chicago,0,35.3205986023,-92.018699646
AR13,default,Pearson Field,Bigelow,US,America/Chicago,0,34.9861984253,-92.6334991455
AR17,default,Burns Aerodrome,Palestine,US,America/Chicago,0,34.9833984375,-90.9151000977
AR18,default,Gerrard Airport,Marianna,US,America/Chicago,0,34.7714996338,-90.8404006958
AR19,default,Wesson-Davis Field,Paris,US,America/Chicago,0,35.2128982544,-93.7520980835
AR22,default,Tommy's Flying Service Inc Airport,Sherrill,US,America/Chicago,0,34.3815002441,-91.9585037231
AR23,default,Cedar Creek Ranch Airport,Belleville,US,America/Chicago,0,35.1333999634,-93.4751968384
AR25,default,Vilonia Airport,Vilonia,US,America/Chicago,0,35.1186981201,-92.1893005371
AR27,default,Lollars Creek Farm Airport,Wesley,US,America/Chicago,0,35.938999176,-93.845703125
AR28,default,Odom Field,Cabot,US,America/Chicago,0,34.9393005371,-92.024597168
AR34,default,Pine Village Airport,Mayflower,US,America/Chicago,0,34.9819984436,-92.4451980591
AR35,default,Henson Farm Airport,Fayetteville,US,America/Chicago,0,36.0867004395,-94.1052017212
AR43,default,Brickey Private Airport,Morrilton,US,America/Chicago,0,35.1001014709,-92.7835006714
AR44,default,Flying W Airport,Texarkana,US,America/Chicago,0,33.5125999451,-94.0134963989
AR46,default,Penrose Airport,Mc Crory,US,America/Chicago,0,35.1893005371,-91.048500061
AR50,default,Hess Strip,Wynne,US,America/Chicago,0,35.2667999268,-90.9834976196
AR54,default,Ralph Fulmer Field,Cabot,US,America/Chicago,0,34.9187011719,-91.9151000977
AR55,default,R.V. Stewart Field,North Little Rock,US,America/Chicago,0,34.7397994995,-92.0901031494
AR56,default,Amos Airport,Oil Trough,US,America/Chicago,0,35.6001014709,-91.4335021973
AR64,default,White River Airport,Melbourne,US,America/Chicago,0,35.9211997986,-92.0050964355
AR79,default,Flying G Ranch Airport,Tillar,US,America/Chicago,0,33.6931991577,-91.3796005249
AR81,default,Katheryn's Landing Airport,Leola,US,America/Chicago,0,34.1623001099,-92.6037979126
AR82,default,Gillespie Strip,Leola,US,America/Chicago,0,34.1711997986,-92.6959991455
AR83,default,Heard Airport,Leola,US,America/Chicago,0,34.1762008667,-92.7009963989
AR84,default,Bobwhite Hill Ranch Airport,Mayflower,US,America/Chicago,0,34.9664993286,-92.2993011475
AR88,default,Poe's Airport,Conway,US,America/Chicago,0,35.0547981262,-92.3539962769
AR89,default,Landers Loop Airport,Dover,US,America/Chicago,0,35.400100708,-93.0660018921
AR91,default,Circle S Farms Airport,Lowell,US,America/Chicago,0,36.2258987427,-94.0320968628
AR93,default,Ark-Mo Airport,Pollard,US,America/Chicago,0,36.4855995178,-90.2804031372
AR94,default,Squirrel Run Airport,Dyer,US,America/Chicago,0,35.4854011536,-94.1382980347
AR97,default,Chael Airport,Wooster,US,America/Chicago,0,35.2201004028,-92.4964981079
AR98,default,Johnson Field,Mc Crory,US,America/Chicago,0,35.2644996643,-91.1890029907
AYAI,ATP,Aitape Airport,Aitape,PG,Pacific/Port_Moresby,0,-3.1436111111,142.346805556
AYAM,AMU,Amanab Airport,Amanab,PG,Pacific/Port_Moresby,0,-3.586,141.214333333
AYAN,ADC,Andakombe Airport,Andekombe,PG,Pacific/Port_Moresby,0,-7.1372222222,145.744722222
AYAO,AIE,Aiome Airport,Aiome,PG,Pacific/Port_Moresby,0,-5.145699978,144.7307003
AYAQ,KPM,Kompiam Airport,default,PG,Pacific/Port_Moresby,0,-5.3816666667,143.924722222
AYAT,AUJ,Ambunti Airport,Ambunti,PG,Pacific/Port_Moresby,0,-4.2156666667,142.823166667
AYAW,AWB,Awaba Airport,Awaba,PG,Pacific/Port_Moresby,0,-8.0061101914,142.748352051
AYAY,AYU,Aiyura Airport,Aiyura Valley,PG,Pacific/Port_Moresby,0,-6.3380555556,145.904166667
AYBA,VMU,Baimuru Airport,Baimuru,PG,Pacific/Port_Moresby,0,-7.4968600273,144.819900513
AYBG,BDZ,Baindoung Airport,default,PG,Pacific/Port_Moresby,0,-6.3472222222,146.942222222
AYBK,BUA,Buka Airport,Buka Island,PG,Pacific/Bougainville,0,-5.4223198891,154.6730041504
AYBM,OPU,Balimo Airport,Balimo,PG,Pacific/Port_Moresby,0,-8.0500001907,142.932998657
AYBU,BUL,Bulolo Airport,Bulolo,PG,Pacific/Port_Moresby,0,-7.2162866714,146.649541855
AYBW,default,Blackwara Airport,default,PG,Pacific/Port_Moresby,0,-2.618211,141.091971
AYCH,CMU,Chimbu Airport,Kundiawa,PG,Pacific/Port_Moresby,0,-6.0242900848,144.970993042
AYDE,DER,Derim Airport,Derim,PG,Pacific/Port_Moresby,0,-6.1447222222,147.107222222
AYDS,default,Dusin Airport,Dusin,PG,Pacific/Port_Moresby,0,-5.184135,144.411965
AYDU,DAU,Daru Airport,Daru,PG,Pacific/Port_Moresby,0,-9.0867595673,143.207992554
AYED,XYR,Edwaki Airport,Yellow River Mission,PG,Pacific/Port_Moresby,0,-3.883986,141.792234
AYFA,FNE,Fane Airport,Fane Mission,PG,Pacific/Port_Moresby,0,-8.5492777778,147.085833333
AYFI,FIN,Finschhafen Airport,Buki,PG,Pacific/Port_Moresby,0,-6.621750109,147.85405
AYFR,FAQ,Frieda River Airport,Frieda River,PG,Pacific/Port_Moresby,0,-4.610468,141.960138
AYGA,GKA,Goroka Airport,Goronka,PG,Pacific/Port_Moresby,0,-6.0816898346,145.391998291
AYGB,default,Gobe Airport,Gobe,PG,Pacific/Port_Moresby,0,-6.8775170598,143.721942902
AYGG,GRL,Garasa Airport,Au,PG,Pacific/Port_Moresby,0,-7.980713,147.213461
AYGI,GAR,Garaina Airport,Garaina,PG,Pacific/Port_Moresby,0,-7.8756250275,147.141265869
AYGN,GUR,Gurney Airport,Gurney,PG,Pacific/Port_Moresby,0,-10.3114995956,150.333999634
AYGP,GAP,Gusap Airport,Gusap,PG,Pacific/Port_Moresby,0,-6.053196,145.959047
AYGR,PNP,Girua Airport,Popondetta,PG,Pacific/Port_Moresby,0,-8.8045396805,148.309005737
AYGT,GMI,Gasmata Island Airport,Gasmata Island,PG,Pacific/Port_Moresby,0,-6.2711100578,150.330993652
AYGV,GVI,Green River Airport,Green River,PG,Pacific/Port_Moresby,0,-3.9022428989,141.170516968
AYGW,default,Guwasa Airport,Guwasa,PG,Pacific/Port_Moresby,0,-6.465838,145.083968
AYHA,default,Haia Airport,default,PG,Pacific/Port_Moresby,0,-6.707421,144.997398
AYHK,HKN,Kimbe Airport,Hoskins,PG,Pacific/Port_Moresby,0,-5.4621701241,150.4049987793
AYIQ,KIE,Aropa Airport,Kieta,PG,Pacific/Bougainville,0,-6.305,155.727778
AYKA,LSA,Losuia Airport,Losuia,PG,Pacific/Port_Moresby,0,-8.5058202744,151.0809936523
AYKB,KBM,Kabwum,default,PG,Pacific/Port_Moresby,0,-6.1554722222,147.191472222
AYKC,KDR,Kandrian Airport,Kandrian,PG,Pacific/Port_Moresby,0,-6.2659,149.5581
AYKI,UNG,Kiunga Airport,Kiunga,PG,Pacific/Port_Moresby,0,-6.1257100105,141.2819976807
AYKK,KRI,Kikori Airport,Kikori,PG,Pacific/Port_Moresby,0,-7.4243798256,144.2500762939
AYKM,KMA,Kerema Airport,Kerema,PG,Pacific/Port_Moresby,0,-7.9636101723,145.770996094
AYKO,KKD,Kokoda Airport,Kokoda,PG,Pacific/Port_Moresby,0,-8.8846788406,147.730957031
AYKT,KZF,Kaintiba Airport,Kaintiba,PG,Pacific/Port_Moresby,0,-7.50025,146.033833333
AYKU,KUQ,Kuri Airport,Kuri,PG,Pacific/Port_Moresby,0,-7.135083,143.276111
AYKV,KVG,Kavieng Airport,Kavieng,PG,Pacific/Port_Moresby,0,-2.5794000626,150.807998657
AYKW,KWO,Kawito Airport,Kawito,PG,Pacific/Port_Moresby,0,-7.9770069122,142.823577881
AYKY,LNV,Londolovit Airport,Londolovit,PG,Pacific/Port_Moresby,0,-3.043610096,152.628997803
AYLM,LMY,Lake Murray Airport,Lake Murray,PG,Pacific/Port_Moresby,0,-7.0099201202,141.494003296
AYLU,LMI,Lumi Airport,Lumi,PG,Pacific/Port_Moresby,0,-3.4768395113,142.041292191
AYMC,MYX,Menyamya Airport,Menyamya,PG,Pacific/Port_Moresby,0,-7.2116666667,146.019361111
AYMD,MAG,Madang Airport,Madang,PG,Pacific/Port_Moresby,0,-5.2070798874,145.789001465
AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG,Pacific/Port_Moresby,0,-5.826789856,144.296005249
AYMI,MXK,Mindik Airport,Mindik,PG,Pacific/Port_Moresby,0,-6.4716666667,147.441138889
AYMK,default,Mok Airport,Mok,PG,Pacific/Port_Moresby,0,-5.730238,149.056583
AYML,GUV,Mougulu Airport,Mougulu,PG,Pacific/Port_Moresby,0,-6.280859,142.420775
AYMN,MDU,Mendi Airport,default,PG,Pacific/Port_Moresby,0,-6.1477398872,143.6569976807
AYMO,MAS,Momote Airport,default,PG,Pacific/Port_Moresby,0,-2.0618898869,147.4239959717
AYMR,MXH,Moro Airport,Moro,PG,Pacific/Port_Moresby,0,-6.3633298874,143.238006592
AYMS,MIS,Misima Island Airport,Misima Island,PG,Pacific/Port_Moresby,0,-10.6892004013,152.837997437
AYNE,GBF,Negarbo(Negabo) Airport,Negarbo,PG,Pacific/Port_Moresby,0,-6.567778,144.703058
AYNG,MFO,Manguna Airport,Manguna,PG,Pacific/Port_Moresby,0,-5.577778,151.792333
AYNU,UKU,Nuku Airport,Nuku,PG,Pacific/Port_Moresby,0,-3.676651,142.484334
AYNZ,LAE,Lae Nadzab Airport,Nadzab,PG,Pacific/Port_Moresby,0,-6.5698299408,146.725997925
AYOG,OGE,Ogeranang Airport,default,PG,Pacific/Port_Moresby,0,-6.46675,147.364166667
AYOM,OSE,Omora Airport,Omora,PG,Pacific/Port_Moresby,0,-7.8277777778,147.080638889
AYPD,PDI,Pindiu Airport,Pindiu,PG,Pacific/Port_Moresby,0,-6.4451388889,147.515833333
AYPU,default,Puri Airport,Puri,PG,Pacific/Port_Moresby,0,-6.4751611111,143.987222222
AYPW,default,Panakawa Airport,default,PG,Pacific/Port_Moresby,0,-7.6720555556,143.124722222
