icao,iata,name,location,country,timezone,hub,lat,lon
EDQX,default,Hetzleser Berg Airport,Neunkirchen am Brand,DE,Europe/Berlin,0,49.6422233582,11.1622219086
EDQY,default,Coburg-Steinrucken Airport,Coburg,DE,Europe/Berlin,0,50.230556488,10.9958333969
EDQZ,default,Pegnitz-Zipser Berg Airport,Pegnitz,DE,Europe/Berlin,0,49.76222229,11.57472229
EDRA,default,Bad Neuenahr-Ahrweiler Airport,Bad Neuenahr,DE,Europe/Berlin,0,50.5577774048,7.1363887787
EDRB,BBJ,Bitburg Airport,Bitburg,DE,Europe/Berlin,0,49.9452781677,6.5650000572
EDRD,default,Neumagen-Dhron Airport,Neumagen,DE,Europe/Berlin,0,49.8430557251,6.9161109924
EDRF,default,Bad Durkheim Airport,Bad Durkheim,DE,Europe/Berlin,0,49.4730567932,8.1963891983
EDRG,default,Idar-Oberstein/Gottschied Airport,Idar-Oberstein,DE,Europe/Berlin,0,49.7322235107,7.3361110687
EDRH,default,Hoppstadten-Weiersbach Airport,Hoppstadten,DE,Europe/Berlin,0,49.6105575562,7.1866669655
EDRI,default,Linkenheim Airport,Linkenheim,DE,Europe/Berlin,0,49.1416664124,8.3947219849
EDRJ,default,Saarlouis-Duren Airport,Saarlouis,DE,Europe/Berlin,0,49.3125,6.6744441986
EDRK,default,Koblenz-Winningen Airport,Koblenz,DE,Europe/Berlin,0,50.3255577087,7.5286111832
EDRL,default,Lachen-Speyerdorf Airport,Neustadt an der Weinstrase,DE,Europe/Berlin,0,49.3308334351,8.2097215652
EDRM,default,Traben-Trarbach/Mont Royal Airport,Traben-Trarbach,DE,Europe/Berlin,0,49.9677772522,7.1119441986
EDRN,default,Nannhausen Airport,Simmern,DE,Europe/Berlin,0,49.9702796936,7.4791669846
EDRO,default,Schweighofen Airport,Schweighofen,DE,Europe/Berlin,0,49.031665802,7.9899997711
EDRP,default,Pirmasens Airport,Pirmasens,DE,Europe/Berlin,0,49.2644424438,7.4883332253
EDRS,default,Bad Sobernheim-Domberg Airport,Bad Sobernheim,DE,Europe/Berlin,0,49.7908325195,7.6661109924
EDRT,default,Trier-Fohren Airport,Trier,DE,Europe/Berlin,0,49.8638877869,6.7874999046
EDRV,default,Wershofen/Eifel Airport,Aremberg,DE,Europe/Berlin,0,50.4513893127,6.7833328247
EDRW,default,Dierdorf-Wienau Airport,Dierdorf,DE,Europe/Berlin,0,50.5661125183,7.6533331871
EDRY,default,Speyer Airport,Speyer,DE,Europe/Berlin,0,49.3047218323,8.4513893127
EDRZ,ZQW,Zweibrucken Airport,Zweibrucken,DE,Europe/Berlin,0,49.209400177,7.4005599022
EDSA,default,Albstadt-Degerfeld Airport,Albstadt,DE,Europe/Berlin,0,48.2497215271,9.0625
EDSB,FKB,Karlsruhe Baden-Baden Airport,Baden-Baden,DE,Europe/Berlin,0,48.7793998718,8.0804996491
EDSD,default,Leipheim Air Base,Leipheim,DE,Europe/Berlin,0,48.4399986267,10.2356004715
EDSG,default,Grabenstetten Airport,Grabenstetten,DE,Europe/Berlin,0,48.5361099243,9.4369440079
EDSH,default,Backnang-Heiningen Airport,Backnang,DE,Europe/Berlin,0,48.9197235107,9.4552783966
EDSI,default,Binningen Airport,Binningen,DE,Europe/Berlin,0,47.7991676331,8.720000267
EDSK,default,Kehl-Sundheim Airport,Kehl,DE,Europe/Berlin,0,48.5611114502,7.8433327675
EDSL,default,Blumberg Airport,Blumberg,DE,Europe/Berlin,0,47.844165802,8.5649995804
EDSN,default,Neuhausen ob Eck Airport,Neuhausen ob Eck,DE,Europe/Berlin,0,47.9766654968,8.9038887024
EDSW,default,Altdorf-Wallburg Airport,Altdorf,DE,Europe/Berlin,0,48.2700004578,7.8419442177
EDSZ,default,Rottweil-Zepfenhahn Airport,Rottweil,DE,Europe/Berlin,0,48.1863899231,8.7211112976
EDTB,default,Baden-Oos Airport,Baden-Baden,DE,Europe/Berlin,0,48.7919425964,8.1858329773
EDTC,default,Bruchsal Airport,Bruchsal,DE,Europe/Berlin,0,49.1349983215,8.5636110306
EDTD,ZQL,Donaueschingen-Villingen Airport,Donaueschingen,DE,Europe/Berlin,0,47.9733314514,8.5222215653
EDTF,default,Freiburg i. Br. Airport,Freiburg im Breisgau,DE,Europe/Berlin,0,48.0227775574,7.8324999809
EDTG,default,Bremgarten Airport,Bremgarten,DE,Europe/Berlin,0,47.9027786255,7.6177778244
